name,serving_size,serving_unit,protein_g,fat_g,carbs_g,calories,category
Alcoholic Beverage Wine Cooking,100.0,g,0.5,0.0,6.3,50.0,Beverages
Alcoholic Beverage Wine Light,100.0,g,0.1,0.0,1.2,49.0,Beverages
Alcoholic Beverage Wine Table White Muller Thurgau,100.0,g,0.1,0.0,3.5,76.0,Beverages
Alcoholic Malt Beverage Higher Alcohol Sweetened,100.0,g,0.0,0.0,8.9,88.0,Beverages
Alexander,100.0,g,1.1,3.5,19.1,235.0,Beverages
Alfalfa Sprouts,100.0,g,4.0,0.7,2.1,23.0,Vegetables
Alfredo Sauce,100.0,g,2.7,15.0,1.0,147.0,Soups and Sauces
Alfredo Sauce With Added Vegetables,100.0,g,2.4,11.6,1.9,118.0,Soups and Sauces
Alfredo Sauce With Meat,100.0,g,7.0,15.3,0.8,168.0,Soups and Sauces
Alfredo Sauce With Meat And Added Vegetables,100.0,g,6.7,12.5,1.6,145.0,Soups and Sauces
Alfredo Sauce With Poultry,100.0,g,7.3,13.5,0.8,152.0,Soups and Sauces
Alfredo Sauce With Poultry And Added Vegetables,100.0,g,7.1,10.7,1.6,128.0,Soups and Sauces
Alfredo Sauce With Seafood,100.0,g,6.4,12.5,1.4,142.0,Soups and Sauces
Alfredo Sauce With Seafood And Added Vegetables,100.0,g,6.1,9.7,2.1,119.0,Soups and Sauces
Almond Butter,100.0,g,21.0,55.5,18.8,614.0,Nuts and Seeds
"Almond butter, creamy",100.0,g,20.8,53.0,21.2,,Nut and Seed Products
Almond Chicken,100.0,g,16.1,13.2,4.9,197.0,Prepared Meals
Almond Joy Candy Bar,100.0,g,4.1,26.9,59.5,479.0,Sweets
Almond Milk Unsweetened,100.0,g,0.6,1.1,0.6,15.0,Dairy and Egg Products
"Almond milk, unsweetened, plain, refrigerated",100.0,g,0.7,1.6,0.7,,Beverages
"Almond milk, unsweetened, plain, shelf stable",100.0,g,0.6,1.2,0.3,,Beverages
Almond Oil,100.0,g,0.0,100.0,0.0,884.0,Fats and Oils
Almond Paste,100.0,g,9.0,27.7,47.8,458.0,Nuts and Seeds
Almonds,100.0,g,21.1,49.9,21.6,579.0,Nuts and Seeds
Almonds Chocolate Covered,100.0,g,17.3,45.7,30.9,574.0,Sweets
Almonds Flavored,100.0,g,20.1,53.3,20.1,599.0,Nuts and Seeds
Almonds Honey Roasted,100.0,g,14.1,45.3,35.9,575.0,Nuts and Seeds
Almonds Salted,100.0,g,20.1,53.4,20.2,601.0,Nuts and Seeds
Almonds Sugar-Coated,100.0,g,10.0,17.9,68.3,474.0,Sweets
Almonds Unsalted,100.0,g,20.3,54.0,20.4,607.0,Nuts and Seeds
Almonds Yogurt-Covered,100.0,g,12.9,38.5,43.6,553.0,Sweets
Aloe Vera Juice Drink Fortified With Vitamin C,100.0,g,0.0,0.0,3.8,15.0,Beverages
Alpen,100.0,g,11.2,3.3,75.7,352.0,Breakfast Cereals
Amaranth Grain Uncooked,100.0,g,13.6,7.0,65.2,371.0,Grains and Pasta
Amaranth Leaves Cooked Boiled Drained With Salt,100.0,g,2.1,0.2,4.1,21.0,Vegetables
Amaranth Leaves Cooked Boiled Drained Without Salt,100.0,g,2.1,0.2,4.1,21.0,Vegetables
Amaranth Leaves Raw,100.0,g,2.5,0.3,4.0,23.0,Vegetables
Amber Hard Cider,100.0,g,0.0,0.0,5.9,56.0,Beverages
Ambrosia,100.0,g,0.9,1.0,16.2,70.0,Fruits
American Cheese,100.0,g,16.9,25.6,8.6,330.0,Dairy and Egg Products
American Cheese Spread,100.0,g,16.4,21.2,8.7,290.0,Dairy and Egg Products
Anchovies (Raw),100.0,g,20.4,4.8,0.0,131.0,Fish
Andreas Gluten Free Soft Dinner Roll,100.0,g,5.7,8.2,40.2,257.0,Baked Foods
Animal Fat Or Drippings,100.0,g,2.2,92.2,0.0,841.0,Fats and Oils
Anise Seeds,100.0,g,17.6,15.9,50.0,337.0,Spices and Herbs
Antipasto With Ham Fish Cheese Vegetables,100.0,g,11.7,10.1,4.3,155.0,Meats
Apple Baked Ns As To Added Sweetener,100.0,g,0.2,0.2,24.8,95.0,Fruits
Apple Baked Unsweetened,100.0,g,0.3,0.2,14.8,56.0,Fruits
Apple Baked With Sugar,100.0,g,0.2,0.2,24.8,95.0,Fruits
Apple Candied,100.0,g,1.3,2.0,28.6,129.0,Fruits
Apple Chips,100.0,g,1.0,21.7,73.7,460.0,Fruits
Apple Cider Vinegar,100.0,g,0.0,0.0,0.9,21.0,Spices and Herbs
Apple Dried Cooked Ns As To Sweetened Or Unsweetened; Sweetened Ns As To Type Of Sweetener,100.0,g,0.2,0.1,24.4,92.0,Fruits
Apple Dried Cooked With Sugar,100.0,g,0.2,0.1,24.4,92.0,Fruits
Apple Fried,100.0,g,0.3,5.4,24.1,138.0,Fruits
Apple Juice,100.0,g,0.1,0.1,11.3,46.0,Fruits
Apple Juice Canned Or Bottled Unsweetened With Added Ascorbic Acid,100.0,g,0.1,0.1,11.3,46.0,Fruits
Apple Juice Canned Or Bottled Unsweetened With Added Ascorbic Acid Calcium And Potassium,100.0,g,0.1,0.2,11.5,48.0,Fruits
Apple Juice Frozen Concentrate Unsweetened Diluted With 3 Volume Water With Added Ascorbic Acid,100.0,g,0.1,0.1,11.5,47.0,Fruits
Apple Juice Frozen Concentrate Unsweetened Diluted With 3 Volume Water Without Added Ascorbic Acid,100.0,g,0.1,0.1,11.5,47.0,Fruits
Apple Juice Frozen Concentrate Unsweetened Undiluted With Added Ascorbic Acid,100.0,g,0.5,0.4,41.0,166.0,Fruits
Apple Juice Frozen Concentrate Unsweetened Undiluted Without Added Ascorbic Acid,100.0,g,0.5,0.4,41.0,166.0,Fruits
"Apple juice, with added vitamin C, from concentrate, shelf stable",100.0,g,0.1,0.3,11.4,,Fruits and Fruit Juices
Apple Pickled,100.0,g,0.2,0.1,32.1,126.0,Fruits
Apple Rings Fried,100.0,g,0.3,5.3,19.4,119.0,Fruits
Apple Salad With Dressing,100.0,g,1.5,13.9,12.2,172.0,Fruits
Apple Strudel,100.0,g,3.3,11.2,41.1,274.0,Baked Foods
Apple Yogurt Dessert Baby Food Strained,100.0,g,0.8,1.6,19.5,96.0,Baby Foods
Apple-Raspberry Baby Food Junior,100.0,g,0.2,0.2,16.0,60.0,Baby Foods
Apple-Raspberry Baby Food Ns As To Strained Or Junior,100.0,g,0.2,0.2,16.0,60.0,Baby Foods
Apple-Sweet Potato Juice Baby Food,100.0,g,0.3,0.1,11.4,48.0,Baby Foods
Applebees 9 Oz House Sirloin Steak,100.0,g,26.9,9.1,0.0,189.0,Restaurant Foods
Applebees Chicken Tenders From Kids Menu,100.0,g,19.2,16.1,18.4,296.0,Restaurant Foods
Applebees Chicken Tenders Platter,100.0,g,19.6,16.2,18.0,297.0,Restaurant Foods
Applebees Chili,100.0,g,12.6,9.8,4.6,157.0,Restaurant Foods
Applebees Coleslaw,100.0,g,0.8,7.1,13.2,120.0,Restaurant Foods
Applebees Double Crunch Shrimp,100.0,g,12.3,18.9,26.0,323.0,Restaurant Foods
Applebees Fish Hand Battered,100.0,g,13.2,9.1,16.6,202.0,Restaurant Foods
Applebees French Fries,100.0,g,3.3,13.2,39.5,290.0,Restaurant Foods
Applebees Kraft Macaroni & Cheese From Kids Menu,100.0,g,5.0,4.3,21.1,143.0,Restaurant Foods
Applebees Mozzarella Sticks,100.0,g,14.9,18.4,22.9,316.0,Restaurant Foods
Apples,100.0,g,0.3,0.2,13.8,52.0,Fruits
Apples (Without Skin),100.0,g,0.3,0.1,12.8,48.0,Fruits
Apples And Pears Baby Food Junior,100.0,g,0.1,0.1,10.9,40.0,Baby Foods
Apples And Pears Baby Food Ns As To Strained Or Junior,100.0,g,0.2,0.1,10.9,41.0,Baby Foods
Apples And Pears Baby Food Strained,100.0,g,0.2,0.2,10.8,42.0,Baby Foods
Apples Baby Food Toddler,100.0,g,0.2,0.1,12.1,51.0,Baby Foods
Apples Canned Sweetened Sliced Drained Heated,100.0,g,0.2,0.4,16.8,67.0,Fruits
Apples Dehydrated (Low Moisture) Sulfured Stewed,100.0,g,0.3,0.1,19.9,74.0,Fruits
Apples Dehydrated (Low Moisture) Sulfured Uncooked,100.0,g,1.3,0.6,93.5,346.0,Fruits
Apples Dried Sulfured Stewed With Added Sugar,100.0,g,0.2,0.1,20.7,83.0,Fruits
Apples Dried Sulfured Stewed Without Added Sugar,100.0,g,0.2,0.1,15.3,57.0,Fruits
Apples Frozen Unsweetened Heated,100.0,g,0.3,0.3,12.0,47.0,Fruits
Apples Frozen Unsweetened Unheated,100.0,g,0.3,0.3,12.3,48.0,Fruits
Apples Raw Without Skin Cooked Boiled,100.0,g,0.3,0.4,13.6,53.0,Fruits
Apples Raw Without Skin Cooked Microwave,100.0,g,0.3,0.4,14.4,56.0,Fruits
"Apples, fuji, with skin, raw",100.0,g,0.1,0.2,15.7,65.0,Fruits and Fruit Juices
"Apples, gala, with skin, raw",100.0,g,0.1,0.1,14.8,61.0,Fruits and Fruit Juices
"Apples, granny smith, with skin, raw",100.0,g,0.3,0.1,14.2,59.0,Fruits and Fruit Juices
"Apples, honeycrisp, with skin, raw",100.0,g,0.1,0.1,14.7,60.0,Fruits and Fruit Juices
"Apples, red delicious, with skin, raw",100.0,g,0.2,0.2,14.8,62.0,Fruits and Fruit Juices
Applesauce And Apricots Baby Food Ns As To Strained Or Junior,100.0,g,0.2,0.2,12.0,46.0,Baby Foods
Applesauce Baby Food Ns As To Strained Or Junior,100.0,g,0.1,0.1,10.6,39.0,Baby Foods
Applesauce Canned Sweetened With Salt,100.0,g,0.2,0.2,19.9,76.0,Fruits
Applesauce Canned Sweetened Without Salt (Includes USDA Commodity),100.0,g,0.2,0.2,17.5,68.0,Fruits
Applesauce Canned Unsweetened With Added Ascorbic Acid,100.0,g,0.2,0.1,11.3,42.0,Fruits
Applesauce Canned Unsweetened Without Added Ascorbic Acid (Includes USDA Commodity),100.0,g,0.2,0.1,11.3,42.0,Fruits
"Applesauce, unsweetened, with added vitamin C",100.0,g,0.3,0.2,12.3,,Fruits and Fruit Juices
Apricot Dried Cooked Ns As To Sweetened Or Unsweetened; Sweetened Ns As To Type Of Sweetener,100.0,g,1.1,0.2,30.5,117.0,Fruits
Apricot Dried Cooked With Sugar,100.0,g,1.1,0.2,30.5,117.0,Fruits
Apricot Kernel Oil,100.0,g,0.0,100.0,0.0,884.0,Fats and Oils
Apricot Nectar,100.0,g,0.4,0.1,14.4,56.0,Beverages
Apricot Nectar Canned Without Added Ascorbic Acid,100.0,g,0.2,0.5,13.6,56.0,Fruits
"Apricot, with skin, raw",100.0,g,1.0,0.4,10.2,,Fruits and Fruit Juices
Apricots,100.0,g,1.4,0.4,11.1,48.0,Fruits
Apricots Baby Food Ns As To Strained Or Junior,100.0,g,0.3,0.0,16.8,62.0,Baby Foods
Apricots Canned Extra Heavy Syrup Pack Without Skin Solids And Liquids,100.0,g,0.6,0.0,24.9,96.0,Fruits
Apricots Canned Extra Light Syrup Pack With Skin Solids And Liquids,100.0,g,0.6,0.1,12.5,49.0,Fruits
Apricots Canned Heavy Syrup Drained,100.0,g,0.6,0.1,21.3,83.0,Fruits
Apricots Canned Heavy Syrup Pack With Skin Solids And Liquids,100.0,g,0.5,0.1,21.5,83.0,Fruits
Apricots Canned Heavy Syrup Pack Without Skin Solids And Liquids,100.0,g,0.5,0.1,21.4,83.0,Fruits
Apricots Canned Juice Pack With Skin Solids And Liquids,100.0,g,0.6,0.0,12.3,48.0,Fruits
Apricots Canned Light Syrup Pack With Skin Solids And Liquids,100.0,g,0.5,0.1,16.5,63.0,Fruits
Apricots Canned Water Pack With Skin Solids And Liquids,100.0,g,0.7,0.2,6.4,27.0,Fruits
Apricots Canned Water Pack Without Skin Solids And Liquids,100.0,g,0.7,0.0,5.5,22.0,Fruits
Apricots Dehydrated (Low-Moisture) Sulfured Stewed,100.0,g,1.9,0.2,32.6,126.0,Fruits
Apricots Dried Sulfured Stewed With Added Sugar,100.0,g,1.2,0.1,29.3,113.0,Fruits
Apricots Dried Sulfured Stewed Without Added Sugar,100.0,g,1.2,0.2,22.1,85.0,Fruits
Apricots Frozen Sweetened,100.0,g,0.7,0.1,25.1,98.0,Fruits
Arbys Roast Beef Sandwich Classic,100.0,g,15.2,10.3,22.2,242.0,Fast Foods
Archway Home Style Cookies Chocolate Chip Ice Box,100.0,g,4.3,24.4,65.0,497.0,Baked Foods
Archway Home Style Cookies Coconut Macaroon,100.0,g,3.0,22.6,61.2,460.0,Baked Foods
Archway Home Style Cookies Date Filled Oatmeal,100.0,g,4.7,12.1,68.2,400.0,Baked Foods
Archway Home Style Cookies Dutch Cocoa,100.0,g,4.5,15.0,69.4,431.0,Baked Foods
Archway Home Style Cookies Frosty Lemon,100.0,g,4.4,17.1,64.8,430.0,Baked Foods
Archway Home Style Cookies Iced Molasses,100.0,g,3.5,14.4,69.1,420.0,Baked Foods
Archway Home Style Cookies Iced Oatmeal,100.0,g,4.9,16.5,66.8,435.0,Baked Foods
Archway Home Style Cookies Molasses,100.0,g,4.2,12.1,69.4,403.0,Baked Foods
Archway Home Style Cookies Oatmeal,100.0,g,5.5,14.1,68.2,421.0,Baked Foods
Archway Home Style Cookies Oatmeal Raisin,100.0,g,5.2,12.1,69.3,406.0,Baked Foods
Archway Home Style Cookies Old Fashioned Molasses,100.0,g,4.3,11.8,70.5,406.0,Baked Foods
Archway Home Style Cookies Old Fashioned Windmill Cookies,100.0,g,5.2,17.6,72.2,468.0,Baked Foods
Archway Home Style Cookies Peanut Butter,100.0,g,9.0,24.3,58.5,480.0,Baked Foods
Archway Home Style Cookies Raspberry Filled,100.0,g,4.3,13.3,65.9,400.0,Baked Foods
Archway Home Style Cookies Reduced Fat Ginger Snaps,100.0,g,4.7,11.1,76.2,424.0,Baked Foods
Archway Home Style Cookies Strawberry Filled,100.0,g,4.3,13.3,65.9,400.0,Baked Foods
Archway Home Style Cookies Sugar Free Oatmeal,100.0,g,5.5,20.9,67.2,442.0,Baked Foods
Arepa Dominicana,100.0,g,5.6,14.0,30.5,267.0,Baked Foods
Arizona Tea Ready-To-Drink Lemon,100.0,g,0.0,0.0,9.8,39.0,Beverages
Armadillo Cooked,100.0,g,28.2,4.4,0.0,159.0,Meats
Arrowhead Cooked Boiled Drained With Salt,100.0,g,4.5,0.1,16.1,78.0,Vegetables
Arrowhead Cooked Boiled Drained Without Salt,100.0,g,4.5,0.1,16.1,78.0,Vegetables
Arrowhead Raw,100.0,g,5.3,0.3,20.2,99.0,Vegetables
Arrowroot,100.0,g,4.2,0.2,13.4,65.0,Vegetables
Arrowroot Flour,100.0,g,0.3,0.1,88.2,357.0,Grains and Pasta
Artichoke Cooked From Canned Fat Added In Cooking Ns As To Type Of Fat,100.0,g,3.0,2.5,8.9,61.0,Vegetables
Artichoke Cooked From Canned Fat Not Added In Cooking,100.0,g,3.1,0.5,9.1,45.0,Vegetables
Artichoke Cooked From Canned Made With Butter,100.0,g,3.0,2.7,8.9,63.0,Vegetables
Artichoke Cooked From Canned Made With Margarine,100.0,g,3.0,2.1,8.9,58.0,Vegetables
Artichoke Cooked From Canned Made With Oil,100.0,g,3.0,3.1,8.9,67.0,Vegetables
Artichoke Cooked From Canned Ns As To Fat Added In Cooking,100.0,g,3.0,2.5,8.9,61.0,Vegetables
Artichoke Cooked From Fresh Fat Added In Cooking Ns As To Type Of Fat,100.0,g,2.8,2.3,11.6,69.0,Vegetables
Artichoke Cooked From Fresh Fat Not Added In Cooking,100.0,g,2.9,0.3,11.9,53.0,Vegetables
Artichoke Cooked From Fresh Made With Butter,100.0,g,2.8,2.5,11.6,71.0,Vegetables
Artichoke Cooked From Fresh Made With Margarine,100.0,g,2.8,2.0,11.6,66.0,Vegetables
Artichoke Cooked From Fresh Made With Oil,100.0,g,2.8,3.0,11.6,74.0,Vegetables
Artichoke Cooked From Fresh Ns As To Fat Added In Cooking,100.0,g,2.8,2.3,11.6,69.0,Vegetables
Artichoke Cooked From Frozen Fat Added In Cooking Ns As To Type Of Fat,100.0,g,3.0,2.5,8.9,61.0,Vegetables
Artichoke Cooked From Frozen Fat Not Added In Cooking,100.0,g,3.1,0.5,9.1,45.0,Vegetables
Artichoke Cooked From Frozen Made With Butter,100.0,g,3.0,2.7,8.9,63.0,Vegetables
Artichoke Cooked From Frozen Made With Margarine,100.0,g,3.0,2.1,8.9,58.0,Vegetables
Artichoke Cooked From Frozen Made With Oil,100.0,g,3.0,3.1,8.9,67.0,Vegetables
Artichoke Cooked From Frozen Ns As To Fat Added In Cooking,100.0,g,3.0,2.5,8.9,61.0,Vegetables
Artichoke Cooked Ns As To Form Fat Added In Cooking Ns As To Type Of Fat,100.0,g,3.0,2.5,8.9,61.0,Vegetables
Artichoke Cooked Ns As To Form Fat Not Added In Cooking,100.0,g,3.1,0.5,9.1,45.0,Vegetables
Artichoke Cooked Ns As To Form Made With Butter,100.0,g,2.8,2.5,11.6,71.0,Vegetables
Artichoke Cooked Ns As To Form Made With Margarine,100.0,g,3.0,2.1,8.9,58.0,Vegetables
Artichoke Cooked Ns As To Form Made With Oil,100.0,g,3.0,3.1,8.9,67.0,Vegetables
Artichoke Cooked Ns As To Form Ns As To Fat Added In Cooking,100.0,g,3.0,2.5,8.9,61.0,Vegetables
Artichoke Dip,100.0,g,3.6,33.1,5.2,330.0,Soups and Sauces
Artichoke Salad In Oil,100.0,g,2.6,8.6,11.0,122.0,Vegetables
Artichokes (Globe Or French),100.0,g,3.3,0.1,10.5,47.0,Vegetables
Artichokes (Globe Or French) Cooked Boiled Drained With Salt,100.0,g,2.9,0.3,11.4,51.0,Vegetables
Artichokes (Globe Or French) Cooked Boiled Drained Without Salt,100.0,g,2.9,0.3,11.9,53.0,Vegetables
Artichokes (Globe Or French) Frozen Cooked Boiled Drained With Salt,100.0,g,3.1,0.5,9.2,45.0,Vegetables
Artichokes (Globe Or French) Frozen Unprepared,100.0,g,2.6,0.4,7.8,38.0,Vegetables
Artichokes Stuffed,100.0,g,5.3,5.8,22.3,159.0,Vegetables
Artificial Blueberry Muffin Mix Dry,100.0,g,4.7,8.7,77.5,407.0,Baked Foods
Arugula,100.0,g,2.6,0.7,3.6,25.0,Vegetables
"Arugula, baby, raw",100.0,g,1.6,0.3,5.4,,Vegetables and Vegetable Products
Ascidians (Tunughnak) (Alaska Native),100.0,g,3.8,0.5,0.0,20.0,American Indian
Asian Chicken Or Turkey Garden Salad Chicken And/or Turkey Lettuce Fruit Nuts No Dressing,100.0,g,11.3,5.0,10.1,127.0,Meats
Asian Chicken Or Turkey Garden Salad With Crispy Noodles Chicken And/or Turkey Lettuce Fruit Nuts Crispy Noodles No Dressing,100.0,g,11.1,5.1,8.2,121.0,Meats
Asian Pears,100.0,g,0.5,0.2,10.7,42.0,Fruits
Asparagus,100.0,g,2.2,0.1,3.9,20.0,Vegetables
Asparagus (Cooked),100.0,g,2.4,0.2,4.1,22.0,Vegetables
Asparagus Canned No Salt Added Solids And Liquids,100.0,g,1.8,0.2,2.5,15.0,Vegetables
Asparagus Canned Regular Pack Solids And Liquids,100.0,g,1.8,0.2,2.5,15.0,Vegetables
Asparagus Cooked Boiled Drained With Salt,100.0,g,2.4,0.2,4.1,22.0,Vegetables
Asparagus Cooked From Canned Fat Added In Cooking Ns As To Type Of Fat,100.0,g,2.1,2.0,2.4,31.0,Vegetables
Asparagus Cooked From Canned Fat Not Added In Cooking,100.0,g,2.1,0.7,2.5,19.0,Vegetables
Asparagus Cooked From Canned Made With Butter,100.0,g,2.1,2.2,2.4,32.0,Vegetables
Asparagus Cooked From Canned Made With Margarine,100.0,g,2.1,1.8,2.4,29.0,Vegetables
Asparagus Cooked From Canned Made With Oil,100.0,g,2.1,2.5,2.4,35.0,Vegetables
Asparagus Cooked From Canned Ns As To Fat Added In Cooking,100.0,g,2.1,2.0,2.4,31.0,Vegetables
Asparagus Cooked From Fresh Fat Added In Cooking Ns As To Type Of Fat,100.0,g,2.3,2.1,4.0,38.0,Vegetables
Asparagus Cooked From Fresh Fat Not Added In Cooking,100.0,g,2.4,0.2,4.1,22.0,Vegetables
Asparagus Cooked From Fresh Made With Butter,100.0,g,2.4,2.3,4.0,40.0,Vegetables
Asparagus Cooked From Fresh Made With Margarine,100.0,g,2.3,1.8,4.0,35.0,Vegetables
Asparagus Cooked From Fresh Made With Oil,100.0,g,2.3,2.7,4.0,43.0,Vegetables
Asparagus Cooked From Fresh Ns As To Fat Added In Cooking,100.0,g,2.3,2.1,4.0,38.0,Vegetables
Asparagus Cooked From Frozen Fat Added In Cooking Ns As To Type Of Fat,100.0,g,2.9,2.3,1.9,34.0,Vegetables
Asparagus Cooked From Frozen Fat Not Added In Cooking,100.0,g,2.9,0.4,1.9,18.0,Vegetables
Asparagus Cooked From Frozen Made With Butter,100.0,g,2.9,2.5,1.9,36.0,Vegetables
Asparagus Cooked From Frozen Made With Margarine,100.0,g,2.9,1.9,1.9,31.0,Vegetables
Asparagus Cooked From Frozen Made With Oil,100.0,g,2.9,2.9,1.9,39.0,Vegetables
Asparagus Cooked From Frozen Ns As To Fat Added In Cooking,100.0,g,2.8,3.1,1.9,41.0,Vegetables
Asparagus Cooked Ns As To Form Fat Added In Cooking Ns As To Type Of Fat,100.0,g,2.9,2.3,1.9,34.0,Vegetables
Asparagus Cooked Ns As To Form Fat Not Added In Cooking,100.0,g,2.9,0.4,1.9,18.0,Vegetables
Asparagus Cooked Ns As To Form Made With Butter,100.0,g,2.9,2.5,1.9,36.0,Vegetables
Asparagus Cooked Ns As To Form Made With Margarine,100.0,g,2.9,1.9,1.9,31.0,Vegetables
Asparagus Cooked Ns As To Form Made With Oil,100.0,g,2.9,2.9,1.9,39.0,Vegetables
Asparagus Cooked Ns As To Form Ns As To Fat Added In Cooking,100.0,g,2.9,2.3,1.9,34.0,Vegetables
Asparagus From Canned Creamed Or With Cheese Sauce,100.0,g,3.4,3.7,3.7,58.0,Vegetables
Asparagus From Fresh Creamed Or With Cheese Sauce,100.0,g,3.9,4.1,5.1,69.0,Vegetables
Asparagus From Frozen Creamed Or With Cheese Sauce,100.0,g,4.2,4.3,3.6,66.0,Vegetables
Asparagus Frozen Cooked Boiled Drained With Salt,100.0,g,3.0,0.4,1.9,18.0,Vegetables
Asparagus Frozen Cooked Boiled Drained Without Salt,100.0,g,3.0,0.4,1.9,18.0,Vegetables
Asparagus Frozen Unprepared,100.0,g,3.2,0.2,4.1,24.0,Vegetables
Asparagus Ns As To Form Creamed Or With Cheese Sauce,100.0,g,4.2,4.3,3.6,66.0,Vegetables
Asparagus Soup Cream Of Ns As To Made With Milk Or Water,100.0,g,2.5,2.6,6.7,60.0,Soups and Sauces
Asparagus Soup Cream Of Prepared With Milk,100.0,g,2.5,2.6,6.7,60.0,Soups and Sauces
Asparagus Soup Cream Of Prepared With Water,100.0,g,0.9,1.7,4.3,35.0,Soups and Sauces
"Asparagus, green, raw",100.0,g,1.4,0.2,5.1,,Vegetables and Vegetable Products
Atlantic Herring,100.0,g,23.0,11.6,0.0,203.0,Fish
Atlantic Mackerel (Cooked),100.0,g,23.9,17.8,0.0,262.0,Fish
Atlantic Mackerel (Raw),100.0,g,18.6,13.9,0.0,205.0,Fish
Avocado Oil,100.0,g,0.0,100.0,0.0,884.0,Fats and Oils
"Avocado, Hass, peeled, raw",100.0,g,1.8,20.3,8.3,,Fruits and Fruit Juices
Avocados,100.0,g,2.0,14.7,8.5,160.0,Fruits
