"id","fdc_id","seq_num","food_attribute_type_id","name","value"
"3324634","321611","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03307712"
"3324633","321611","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3324632","321611","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_3885"
"3365887","323121","","","Ontology Name For Source","sausage food product"
"3365886","323121","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001007"
"3365885","323121","","","FoodOn Ontology Name For FDC Item","beef frankfurter"
"3365884","323121","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03310577"
"3365883","323121","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33208"
"3365882","323121","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9913"
"3325027","323121","","","Ontology Name For Source","sausage food product"
"3325026","323121","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001007"
"3325025","323121","","","FoodOn Ontology Name For FDC Item","beef frankfurter"
"3325024","323121","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03310577"
"3325023","323121","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33208"
"3325022","323121","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9913"
"5578","323121","0","1000","","hot dog, frank, wiener"
"3366097","323294","","","Ontology Name For Source","nut food product"
"3366096","323294","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001172"
"3366095","323294","","","FoodOn Ontology Name For FDC Item","almond (dry, roasted)"
"3366094","323294","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03311210"
"3366093","323294","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3366092","323294","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_3755"
"3325237","323294","","","Ontology Name For Source","nut food product"
"3325236","323294","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001172"
"3325235","323294","","","FoodOn Ontology Name For FDC Item","almond (dry, roasted)"
"3325234","323294","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03311210"
"3325233","323294","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3325232","323294","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_3755"
"3365959","323505","","","Ontology Name For Source","plant leaf vegetable food product"
"3365958","323505","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00002143"
"3365957","323505","","","FoodOn Ontology Name For FDC Item","kale leaf (raw)"
"3365956","323505","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03304859"
"3365955","323505","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3365954","323505","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_3712"
"3325099","323505","","","Ontology Name For Source","plant leaf vegetable food product"
"3325098","323505","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00002143"
"3325097","323505","","","FoodOn Ontology Name For FDC Item","kale leaf (raw)"
"3325096","323505","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03304859"
"3325095","323505","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3325094","323505","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_3712"
"3365707","323604","","","Ontology Name For Source","chicken egg food product"
"3365706","323604","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001275"
"3365705","323604","","","FoodOn Ontology Name For FDC Item","chicken egg liquid (pasteurized, frozen)"
"3365704","323604","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03306265"
"3365703","323604","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33208"
"3365702","323604","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9031"
"3324847","323604","","","Ontology Name For Source","chicken egg food product"
"3324846","323604","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001275"
"3324845","323604","","","FoodOn Ontology Name For FDC Item","chicken egg liquid (pasteurized, frozen)"
"3324844","323604","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03306265"
"3324843","323604","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33208"
"3324842","323604","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9031"
"3365695","323697","","","Ontology Name For Source","chicken egg food product"
"3365694","323697","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001275"
"3365693","323697","","","FoodOn Ontology Name For FDC Item","chicken egg white (pasteurized, frozen)"
"3365692","323697","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03304799"
"3365691","323697","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33208"
"3365690","323697","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9031"
"3324835","323697","","","Ontology Name For Source","chicken egg food product"
"3324834","323697","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001275"
"3324833","323697","","","FoodOn Ontology Name For FDC Item","chicken egg white (pasteurized, frozen)"
"3324832","323697","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03304799"
"3324831","323697","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33208"
"3324830","323697","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9031"
"3365689","323793","","","Ontology Name For Source","chicken egg food product"
"3365688","323793","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001275"
"3365687","323793","","","FoodOn Ontology Name For FDC Item","chicken egg white (dried)"
"3365686","323793","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03305612"
"3365685","323793","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33208"
"3365684","323793","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9031"
"3324829","323793","","","Ontology Name For Source","chicken egg food product"
"3324828","323793","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001275"
"3324827","323793","","","FoodOn Ontology Name For FDC Item","chicken egg white (dried)"
"3324826","323793","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03305612"
"3324825","323793","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33208"
"3324824","323793","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9031"
"3366163","324317","","","Ontology Name For Source","vegetable food product"
"3366162","324317","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001261"
"3366161","324317","","","FoodOn Ontology Name For FDC Item","onion ring (breaded, frozen)"
"3366160","324317","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03301310"
"3366159","324317","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3366158","324317","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_4679"
"3325303","324317","","","Ontology Name For Source","vegetable food product"
"3325302","324317","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001262"
"3325301","324317","","","FoodOn Ontology Name For FDC Item","onion ring (breaded, frozen)"
"3325300","324317","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03301310"
"3325299","324317","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3325298","324317","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_4679"
"3366247","324653","","","Ontology Name For Source","vegetable food product"
"3366246","324653","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001261"
"3366245","324653","","","FoodOn Ontology Name For FDC Item","dill pickle"
"3366244","324653","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03306757"
"3366243","324653","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3366242","324653","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_3659"
"3325387","324653","","","Ontology Name For Source","vegetable food product"
"3325386","324653","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001262"
"3325385","324653","","","FoodOn Ontology Name For FDC Item","dill pickle"
"3325384","324653","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03306757"
"3325383","324653","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3325382","324653","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_3659"
"3365635","325036","","","Ontology Name For Source","dairy food product"
"3365634","325036","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001256"
"3365633","325036","","","FoodOn Ontology Name For FDC Item","parmesan cheese (grated)"
"3365632","325036","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03302978"
"3365631","325036","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33208"
"3365630","325036","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9913"
"3324775","325036","","","Ontology Name For Source","dairy food product"
"3324774","325036","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001256"
"3324773","325036","","","FoodOn Ontology Name For FDC Item","parmesan cheese (grated)"
"3324772","325036","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03302978"
"3324771","325036","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33208"
"3324770","325036","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9913"
"3365647","325198","","","Ontology Name For Source","dairy food product"
"3365646","325198","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001256"
"3365645","325198","","","FoodOn Ontology Name For FDC Item","pasteurized process cheese food"
"3365644","325198","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03303517"
"3365643","325198","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33208"
"3365642","325198","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9913"
"3324787","325198","","","Ontology Name For Source","dairy food product"
"3324786","325198","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001256"
"3324785","325198","","","FoodOn Ontology Name For FDC Item","pasteurized process cheese food"
"3324784","325198","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03303517"
"3324783","325198","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33208"
"3324782","325198","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9913"
"3365917","325287","","","Ontology Name For Source","plant derived beverage"
"3365916","325287","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001253"
"3365915","325287","","","FoodOn Ontology Name For FDC Item","white grapefruit juice"
"3365914","325287","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_00003293"
"3365913","325287","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3365912","325287","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_37656"
"3325057","325287","","","Ontology Name For Source","plant derived beverage"
"3325056","325287","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001253"
"3325055","325287","","","FoodOn Ontology Name For FDC Item","white grapefruit juice"
"3325054","325287","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_00003293"
"3325053","325287","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3325052","325287","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_37656"
"3366205","325430","","","Ontology Name For Source","plant fruit food product"
"3366204","325430","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001057"
"3366203","325430","","","FoodOn Ontology Name For FDC Item","peach (raw)"
"3366202","325430","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03301719"
"3366201","325430","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3366200","325430","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_3760"
"3325345","325430","","","Ontology Name For Source","plant fruit food product"
"3325344","325430","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001057"
"3325343","325430","","","FoodOn Ontology Name For FDC Item","peach (raw)"
"3325342","325430","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03301719"
"3325341","325430","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3325340","325430","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_3760"
"3366331","325524","","","Ontology Name For Source","plant seed food product"
"3366330","325524","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001173"
"3366329","325524","","","FoodOn Ontology Name For FDC Item","sunflower seed (shell off, roasted)"
"3366328","325524","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_00003298"
"3366327","325524","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3366326","325524","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_4231"
"3325471","325524","","","Ontology Name For Source","plant seed food product"
"3325470","325524","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001173"
"3325469","325524","","","FoodOn Ontology Name For FDC Item","sunflower seed (shell off, roasted)"
"3325468","325524","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_00003298"
"3325467","325524","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3325466","325524","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_4231"
"3365545","325871","","","Ontology Name For Source","bread food product"
"3365544","325871","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001183"
"3365543","325871","","","FoodOn Ontology Name For FDC Item","white bread"
"3365542","325871","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03301055"
"3365541","325871","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3365540","325871","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_4564"
"3324685","325871","","","Ontology Name For Source","bread food product"
"3324684","325871","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001183"
"3324683","325871","","","FoodOn Ontology Name For FDC Item","white bread"
"3324682","325871","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03301055"
"3324681","325871","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3324680","325871","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_4564"
"3365953","326196","","","Ontology Name For Source","plant leaf vegetable food product"
"3365952","326196","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00002143"
"3365951","326196","","","FoodOn Ontology Name For FDC Item","kale (frozen)"
"3365950","326196","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03311034"
"3365949","326196","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3365948","326196","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_3712"
"3325093","326196","","","Ontology Name For Source","plant leaf vegetable food product"
"3325092","326196","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00002143"
"3325091","326196","","","FoodOn Ontology Name For FDC Item","kale (frozen)"
"3325090","326196","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03311034"
"3325089","326196","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3325088","326196","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_3712"
"3366079","326698","","","Ontology Name For Source","mustard condiment food product"
"3366078","326698","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00002052"
"3366077","326698","","","FoodOn Ontology Name For FDC Item","mustard (prepared)"
"3366076","326698","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03301186"
"3366075","326698","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3366074","326698","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_3728"
"3325219","326698","","","Ontology Name For Source","mustard condiment food product"
"3325218","326698","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00002052"
"3325217","326698","","","FoodOn Ontology Name For FDC Item","mustard (prepared)"
"3325216","326698","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03301186"
"3325215","326698","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3325214","326698","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_3728"
"3365971","327046","","","Ontology Name For Source","plant fruit food product"
"3365970","327046","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001057"
"3365969","327046","","","FoodOn Ontology Name For FDC Item","fuzzy kiwifruit (raw)"
"3365968","327046","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03303398"
"3365967","327046","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3365966","327046","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_3627"
"3325111","327046","","","Ontology Name For Source","plant fruit food product"
"3325110","327046","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001057"
"3325109","327046","","","FoodOn Ontology Name For FDC Item","fuzzy kiwifruit (raw)"
"3325108","327046","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03303398"
"3325107","327046","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3325106","327046","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_3627"
"5579","327046","0","1000","","Chinese gooseberry"
"3366085","327357","","","Ontology Name For Source","plant fruit food product"
"3366084","327357","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001057"
"3366083","327357","","","FoodOn Ontology Name For FDC Item","nectarine (raw)"
"3366082","327357","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03301107"
"3366081","327357","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3366080","327357","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_3760"
"3325225","327357","","","Ontology Name For Source","plant fruit food product"
"3325224","327357","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001057"
"3325223","327357","","","FoodOn Ontology Name For FDC Item","nectarine (raw)"
"3325222","327357","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03301107"
"3325221","327357","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_35493"
"3325220","327357","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_3760"
"3365605","328637","","","Ontology Name For Source","milk or milk based food product"
"3365604","328637","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001257"
"3365603","328637","","","FoodOn Ontology Name For FDC Item","cheddar cheese"
"3365602","328637","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03302458"
"3365601","328637","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33208"
"3365600","328637","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9913"
"3324745","328637","","","Ontology Name For Source","milk or milk based food product"
"3324744","328637","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001257"
"3324743","328637","","","FoodOn Ontology Name For FDC Item","cheddar cheese"
"3324742","328637","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03302458"
"3324741","328637","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33208"
"3324740","328637","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9913"
"3365611","328841","","","Ontology Name For Source","milk or milk based food product"
"3365610","328841","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001257"
"3365609","328841","","","FoodOn Ontology Name For FDC Item","cottage cheese (lowfat)"
"3365608","328841","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03303720"
"3365607","328841","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33208"
"3365606","328841","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9913"
"3324751","328841","","","Ontology Name For Source","milk or milk based food product"
"3324750","328841","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001257"
"3324749","328841","","","FoodOn Ontology Name For FDC Item","cottage cheese (lowfat)"
"3324748","328841","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03303720"
"3324747","328841","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33208"
"3324746","328841","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9913"
"3365629","329370","","","Ontology Name For Source","milk or milk based food product"
"3365628","329370","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001257"
"3365627","329370","","","FoodOn Ontology Name For FDC Item","mozzarella cheese low-moisture part-skim"
"3365626","329370","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03303579"
"3365625","329370","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33208"
"3365624","329370","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9913"
"3324769","329370","","","Ontology Name For Source","milk or milk based food product"
"3324768","329370","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001257"
"3324767","329370","","","FoodOn Ontology Name For FDC Item","mozzarella cheese low-moisture part-skim"
"3324766","329370","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03303579"
"3324765","329370","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33208"
"3324764","329370","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9913"
"3365701","329490","","","Ontology Name For Source","chicken egg food product"
"3365700","329490","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001275"
"3365699","329490","","","FoodOn Ontology Name For FDC Item","chicken egg (shell off, solids, dried)"
"3365698","329490","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03311041"
"3365697","329490","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33208"
"3365696","329490","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9031"
"3324841","329490","","","Ontology Name For Source","chicken egg food product"
"3324840","329490","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001275"
"3324839","329490","","","FoodOn Ontology Name For FDC Item","chicken egg (shell off, solids, dried)"
"3324838","329490","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03311041"
"3324837","329490","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33208"
"3324836","329490","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9031"
"3365719","329596","","","Ontology Name For Source","chicken egg food product"
"3365718","329596","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001275"
"3365717","329596","","","FoodOn Ontology Name For FDC Item","chicken egg yolk (frozen)"
"3365716","329596","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03304626"
"3365715","329596","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33208"
"3365714","329596","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9031"
"3324859","329596","","","Ontology Name For Source","chicken egg food product"
"3324858","329596","","","Ontology ID For Source","http://purl.obolibrary.org/obo/FOODON_00001275"
"3324857","329596","","","FoodOn Ontology Name For FDC Item","chicken egg yolk (frozen)"
"3324856","329596","","","FoodOn Ontology ID For FDC Item","http://purl.obolibrary.org/obo/FOODON_03304626"
"3324855","329596","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33208"
"3324854","329596","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9031"
"3365713","329716","","","Ontology Name For Source","chicken egg food product"
